age,gender,height_cm,weight_kg,activity_level,goal,diet_type,budget_rs,workout_time_min,daily_calories
20,1,168,52,1,2,1,259,17,1075.0
18,0,162,86,3,0,2,384,66,1782.5
21,1,170,78,2,0,0,108,47,1742.5
29,0,186,53,3,1,1,284,56,1347.5
26,1,176,67,3,0,0,394,16,1645.0
20,1,178,79,5,0,0,234,53,1807.5
29,0,169,94,4,1,0,209,60,1651.25
26,1,174,51,5,2,0,168,62,1072.5
24,1,155,59,2,2,1,235,41,1043.75
29,0,185,64,2,0,2,195,29,1651.25
21,1,151,94,5,2,1,218,21,1383.75
20,0,171,69,4,2,2,373,71,1258.75
27,0,181,47,5,0,0,276,56,1466.25
22,0,165,90,2,1,2,336,23,1621.25
22,0,167,68,4,0,0,371,20,1613.75
20,1,154,78,2,0,1,376,71,1647.5
29,1,185,90,4,0,1,237,44,1916.25
26,1,179,66,4,1,2,231,69,1453.75
21,0,168,55,5,1,0,143,68,1295.0
28,1,172,92,5,1,0,222,41,1660.0
22,1,183,52,5,1,2,235,73,1358.75
21,0,162,83,4,0,0,225,21,1737.5
22,0,178,87,4,2,0,374,54,1472.5
24,1,185,79,2,0,0,163,86,1831.25
26,0,171,93,3,1,1,395,16,1668.75
24,0,185,90,5,2,1,331,28,1536.25
22,0,158,82,2,0,1,150,24,1697.5
27,0,188,52,2,2,0,236,64,1160.0
27,1,168,81,1,1,1,257,32,1530.0
24,0,187,71,5,2,0,155,32,1358.75
27,0,155,72,2,2,0,180,30,1153.75
22,0,164,84,1,1,2,331,66,1555.0
20,0,169,78,5,2,0,227,83,1336.25
24,0,158,76,4,0,1,225,66,1627.5
28,0,181,59,1,2,1,179,45,1181.25
28,0,153,88,4,0,0,274,37,1696.25
19,0,167,61,3,2,1,244,56,1158.75
29,1,154,77,3,2,0,225,76,1192.5
26,0,169,91,3,1,2,281,64,1636.25
27,1,172,90,3,1,0,318,29,1645.0
27,0,160,60,2,0,0,377,58,1465.0
29,0,186,73,3,1,2,182,56,1547.5
18,0,171,53,2,1,1,240,59,1308.75
23,0,153,77,2,1,2,194,49,1411.25
24,1,178,93,5,1,2,293,36,1727.5
25,0,183,73,2,1,0,209,88,1548.75
27,0,162,57,2,0,0,151,89,1447.5
26,1,158,65,3,0,2,202,52,1512.5
19,1,180,65,2,1,1,200,84,1485.0
28,0,156,49,4,1,2,241,78,1125.0
27,1,153,54,3,0,1,300,21,1366.25
19,1,168,50,1,2,2,298,58,1060.0
22,1,179,57,3,0,2,383,21,1583.75
22,0,180,45,2,2,1,316,80,1065.0
23,0,184,64,4,1,2,145,74,1475.0
20,0,170,91,3,1,0,127,15,1672.5
25,1,180,90,4,0,2,101,76,1905.0
18,0,168,52,1,1,0,116,32,1280.0
23,1,180,54,1,2,1,176,21,1155.0
21,0,181,53,5,2,1,264,68,1156.25
18,0,151,93,5,0,0,196,81,1783.75
24,1,159,85,3,2,2,204,24,1328.75
26,0,151,47,5,0,0,123,75,1283.75
21,1,151,55,4,0,0,299,73,1393.75
21,1,173,56,5,2,1,134,73,1141.25
23,0,166,54,4,2,0,101,83,1062.5
29,1,181,69,5,2,2,388,77,1281.25
20,0,165,93,5,2,0,237,22,1461.25
29,0,165,93,5,2,1,161,69,1416.25
23,1,188,69,2,2,2,398,20,1355.0
24,0,180,55,2,2,1,296,15,1155.0
28,1,173,80,5,1,0,158,70,1546.25
27,0,150,83,4,0,0,364,89,1632.5
27,0,160,70,3,0,1,287,24,1565.0
20,0,170,58,1,2,1,162,37,1142.5
24,0,153,83,2,0,2,378,30,1666.25
20,0,156,84,5,2,1,129,30,1315.0
19,1,175,45,1,1,1,270,70,1253.75
29,1,161,48,2,0,0,120,20,1346.25
27,1,180,74,3,0,0,398,44,1735.0
21,1,166,56,4,1,1,300,77,1297.5
29,1,182,79,5,1,1,234,15,1587.5
25,1,160,57,3,1,0,371,65,1250.0
26,0,177,75,2,0,2,122,60,1726.25
24,0,181,82,5,0,2,186,35,1831.25
18,1,150,87,1,1,2,130,52,1522.5
20,1,177,67,4,1,2,220,83,1481.25
29,0,156,48,2,1,0,168,77,1110.0
26,0,151,60,4,1,1,233,64,1213.75
29,0,173,51,5,1,2,245,26,1246.25
18,1,153,66,3,2,0,362,83,1131.25
26,1,168,73,4,1,1,392,87,1455.0
25,1,175,55,1,2,2,185,58,1123.75
18,0,160,77,2,0,1,115,66,1680.0
23,0,189,73,1,0,2,315,23,1796.25
22,1,160,83,4,2,1,215,79,1325.0
23,1,152,56,3,1,2,217,24,1200.0
27,0,161,51,3,0,2,369,60,1381.25
29,0,152,83,1,1,1,261,72,1435.0
22,0,176,86,5,1,1,287,51,1650.0
23,0,151,92,5,2,1,203,66,1348.75
22,1,165,70,3,0,0,240,27,1626.25
28,0,151,84,1,0,0,266,20,1643.75
29,0,179,53,1,2,1,399,72,1103.75
22,0,169,85,1,1,0,127,62,1596.25
21,1,187,78,4,1,2,371,46,1648.75
20,1,177,89,5,0,1,149,25,1901.25
20,0,174,57,5,2,0,255,19,1157.5
21,0,181,80,4,2,1,220,20,1426.25
26,0,159,69,2,1,2,239,88,1353.75
19,1,189,68,4,1,2,115,35,1571.25
26,1,182,88,1,2,0,148,56,1492.5
18,1,162,61,4,0,2,263,41,1537.5
18,0,186,46,1,1,1,161,17,1332.5
22,1,165,57,3,2,0,253,74,1096.25
23,0,171,75,1,2,1,249,80,1303.75
23,0,169,73,5,2,1,172,63,1271.25
20,0,176,94,4,0,1,168,48,1940.0
24,1,165,72,1,1,2,276,51,1436.25
26,0,183,71,2,1,1,101,56,1523.75
28,1,181,59,3,1,2,218,79,1386.25
29,1,175,75,2,0,1,106,74,1703.75
27,0,174,84,2,1,2,354,15,1592.5
25,0,151,59,2,1,2,174,73,1208.75
23,1,161,77,3,1,2,294,18,1466.25
29,0,189,64,3,1,1,286,28,1476.25
25,1,158,86,3,0,1,102,32,1727.5
29,0,161,56,3,2,2,283,48,1021.25
22,1,175,81,2,2,1,372,15,1398.75
25,1,158,53,5,1,2,151,67,1197.5
27,1,159,67,5,1,1,362,36,1333.75
29,1,181,52,3,1,2,232,75,1311.25
21,0,183,76,4,0,2,324,36,1798.75
27,0,169,92,1,1,0,160,64,1641.25
25,1,188,58,4,0,1,115,30,1635.0
27,1,151,71,4,1,1,328,42,1323.75
29,0,150,69,4,1,0,294,84,1282.5
19,0,185,57,5,2,2,350,56,1231.25
29,0,173,65,1,1,2,147,80,1386.25
29,0,176,89,4,0,0,334,85,1845.0
22,0,151,75,3,2,0,220,49,1183.75
26,0,180,81,5,0,2,149,34,1805.0
21,1,163,92,3,2,1,140,16,1438.75
28,0,151,87,3,0,0,121,21,1673.75
23,0,178,49,4,2,0,281,63,1087.5
18,1,164,57,3,0,0,104,23,1510.0
26,0,161,72,1,0,0,244,41,1596.25
18,0,186,87,3,1,0,177,16,1742.5
22,0,177,69,4,2,0,330,82,1286.25
21,0,169,79,3,2,2,396,74,1341.25
29,0,188,91,5,1,2,308,63,1740.0
20,1,173,83,5,0,0,262,16,1816.25
23,0,170,51,5,0,2,267,31,1457.5
19,1,159,82,2,2,1,377,34,1323.75
20,1,163,76,5,0,1,336,46,1683.75
22,0,186,47,5,2,0,275,65,1122.5
26,1,167,89,2,2,1,152,56,1408.75
19,0,173,83,5,0,1,109,77,1816.25
27,1,163,81,4,0,2,245,75,1698.75
25,1,183,94,5,0,2,326,76,1963.75
19,0,161,66,5,1,2,335,17,1371.25
28,0,171,52,2,2,2,341,40,1048.75
22,0,155,61,4,0,1,170,62,1468.75
24,0,185,71,3,1,0,257,22,1546.25
25,0,185,77,1,0,2,118,19,1801.25
18,1,171,90,4,2,1,154,25,1483.75
23,1,163,61,3,1,2,314,56,1318.75
18,1,165,86,4,2,1,308,55,1406.25
19,1,185,56,3,0,2,120,33,1626.25
18,1,174,92,3,0,0,381,62,1922.5
28,1,181,90,4,0,2,348,67,1896.25
22,1,182,71,2,1,0,127,69,1542.5
27,0,185,92,4,1,2,395,75,1741.25
26,0,169,52,4,1,2,310,46,1246.25
23,1,167,67,3,1,2,384,60,1403.75
28,1,187,86,1,0,1,119,50,1893.75
28,0,152,93,3,0,1,119,32,1740.0
18,0,172,73,5,0,0,219,88,1715.0
18,0,181,94,4,1,0,196,32,1781.25
19,0,165,64,4,1,1,219,26,1376.25
26,1,154,60,2,0,0,124,86,1437.5
20,0,153,61,3,0,0,252,60,1466.25
18,1,170,60,2,1,1,344,69,1377.5
22,1,189,63,4,2,1,359,52,1306.25
24,1,163,52,3,0,1,103,16,1423.75
23,0,188,82,3,0,1,242,23,1880.0
29,0,180,82,5,0,2,381,19,1800.0
18,1,163,73,5,1,1,319,33,1463.75
22,1,155,85,1,0,0,259,85,1713.75
22,1,161,80,5,0,2,175,53,1701.25
23,0,165,70,3,0,2,198,56,1616.25
20,1,166,75,5,0,0,279,31,1692.5
22,0,172,88,1,0,2,226,77,1845.0
24,1,163,56,4,2,0,131,60,1063.75
22,1,156,61,5,2,2,364,34,1080.0
22,1,181,59,3,0,2,112,84,1616.25
22,0,164,53,4,0,0,301,22,1445.0
27,0,166,83,3,0,0,117,33,1732.5
27,1,183,86,4,0,0,192,46,1873.75
20,0,154,92,3,1,0,379,33,1582.5
18,1,176,56,5,1,1,159,38,1375.0
22,0,172,76,5,1,1,313,38,1525.0
26,0,189,69,1,2,0,199,70,1341.25
18,0,163,83,4,0,1,100,32,1758.75
20,1,164,62,1,1,0,142,26,1350.0
21,0,182,59,2,0,0,267,55,1622.5
18,0,180,76,5,0,2,291,62,1795.0
18,1,184,50,4,2,0,133,78,1165.0
25,1,166,88,1,2,0,133,30,1397.5
19,1,177,87,1,1,0,275,37,1686.25
29,1,168,79,2,1,0,295,53,1500.0
25,0,172,78,1,2,2,257,47,1330.0
24,0,181,82,3,2,0,344,38,1431.25
27,0,189,49,5,0,2,170,75,1536.25
27,0,162,62,1,0,0,213,69,1497.5
19,0,169,60,1,1,2,384,75,1361.25
23,1,184,52,2,1,1,242,54,1360.0
23,0,154,69,3,2,2,196,72,1137.5
20,0,158,76,1,1,2,311,86,1447.5
28,0,178,70,5,0,0,284,88,1672.5
19,1,155,66,5,2,2,304,15,1138.75
29,1,174,75,1,0,2,315,39,1697.5
18,0,180,87,3,2,0,345,67,1505.0
23,1,171,54,5,2,1,338,75,1098.75
29,1,151,56,5,0,1,392,60,1363.75
22,1,154,72,3,1,1,107,88,1377.5
28,1,176,50,3,1,2,177,74,1265.0
26,1,174,64,1,1,0,376,65,1402.5
18,1,157,49,4,1,1,301,87,1186.25
24,1,150,67,2,0,1,313,62,1492.5
22,0,169,53,4,2,1,193,54,1076.25
22,0,172,73,4,0,1,174,21,1695.0
19,1,181,60,5,1,0,256,89,1441.25
28,0,160,90,3,1,1,252,33,1560.0
20,0,188,66,5,0,2,241,29,1735.0
24,1,173,52,2,2,2,177,84,1086.25
23,0,160,64,1,0,0,281,75,1525.0
29,1,178,58,2,0,1,294,70,1552.5
19,1,175,83,5,0,1,257,24,1833.75
23,1,165,81,5,2,2,245,60,1331.25
19,0,184,94,5,0,0,153,89,1995.0
19,0,169,78,5,0,2,376,71,1741.25
19,0,152,55,4,1,0,182,49,1205.0
28,0,150,84,1,0,0,255,86,1637.5
20,1,150,77,4,1,0,103,17,1412.5
19,1,166,75,5,1,2,370,80,1497.5
21,0,151,88,3,1,0,163,67,1518.75
26,1,178,78,4,2,2,211,66,1367.5
23,1,169,94,5,1,2,338,67,1686.25
18,0,155,51,5,0,1,243,68,1388.75
25,1,157,93,1,0,2,119,61,1791.25
29,0,178,67,2,1,2,163,17,1437.5
24,1,182,90,4,1,1,388,79,1722.5
27,0,152,51,4,0,1,180,29,1325.0
20,1,184,69,4,1,1,296,48,1545.0
18,1,154,47,5,2,0,168,64,947.5
22,0,176,82,1,1,0,285,47,1610.0
21,0,161,64,5,2,1,266,87,1141.25
27,0,169,78,5,2,0,304,17,1301.25
25,0,169,93,3,2,1,263,16,1461.25
18,1,158,88,1,1,0,193,18,1582.5
27,1,188,88,4,2,2,348,30,1525.0
18,0,153,74,2,2,0,167,68,1206.25
29,1,168,61,4,1,0,120,47,1320.0
21,0,187,54,5,2,2,184,23,1203.75
25,0,176,79,1,1,1,123,71,1565.0
22,1,162,64,1,0,0,210,54,1547.5
19,1,162,62,1,2,0,182,66,1142.5
23,0,171,89,3,1,2,177,30,1643.75
22,0,177,88,4,0,2,239,22,1876.25
19,0,171,71,3,2,2,370,74,1283.75
28,1,168,93,2,2,2,268,50,1445.0
28,1,157,80,5,1,1,296,17,1446.25
28,1,157,67,3,0,0,361,29,1516.25
20,1,175,76,3,1,0,314,37,1558.75
26,0,175,54,5,2,0,166,17,1103.75
24,0,172,55,1,2,0,328,44,1105.0
24,0,162,82,5,2,1,260,59,1312.5
28,0,177,50,4,2,0,221,31,1066.25
23,0,158,85,5,0,1,248,72,1722.5
25,0,169,91,1,0,1,292,72,1841.25
21,1,168,78,5,1,2,330,71,1530.0
25,1,188,80,3,1,2,210,21,1655.0
21,0,161,81,2,1,0,244,53,1511.25
25,0,164,61,3,2,1,320,72,1110.0
26,1,180,84,2,1,2,163,70,1640.0
20,1,163,84,5,0,1,225,29,1763.75
20,1,160,56,4,1,2,317,58,1265.0
28,1,175,65,5,1,1,383,26,1408.75
19,0,176,84,1,0,0,335,22,1845.0
27,0,160,63,5,0,0,112,55,1495.0
20,0,187,47,2,2,1,252,48,1138.75
20,0,183,62,3,0,2,338,60,1663.75
22,0,168,63,4,0,2,289,43,1570.0
22,1,155,91,5,1,0,250,30,1573.75
19,0,187,50,5,0,0,185,19,1573.75
29,1,177,60,3,2,0,120,19,1166.25
27,0,150,52,4,1,2,281,44,1122.5
23,0,184,92,5,2,2,257,64,1555.0
22,0,189,62,5,0,0,175,19,1691.25
23,0,157,92,2,2,1,302,27,1386.25
18,0,156,87,2,2,2,328,63,1355.0
22,1,160,83,1,0,0,251,64,1725.0
26,1,188,93,3,0,1,362,28,1980.0
29,1,153,93,4,1,2,171,60,1546.25
27,0,174,56,5,1,1,324,48,1312.5
19,0,161,89,5,1,1,230,85,1601.25
18,1,175,54,1,0,2,127,61,1548.75
27,0,187,51,5,2,0,398,74,1143.75
28,0,161,90,3,2,1,196,88,1366.25
26,1,186,45,1,1,0,145,25,1287.5
27,0,173,93,3,1,2,100,64,1676.25
26,1,165,80,1,0,1,265,18,1706.25
26,0,162,65,5,2,1,344,55,1132.5
23,1,174,81,1,1,1,318,73,1587.5
25,0,153,68,2,0,1,201,74,1511.25
28,0,160,69,4,1,1,390,76,1350.0
18,1,181,51,5,0,2,303,39,1556.25
27,0,156,86,4,2,1,301,47,1300.0
21,0,160,61,5,0,2,153,33,1505.0
18,1,177,73,4,1,0,379,71,1551.25
25,0,172,74,2,1,2,377,29,1490.0
18,1,172,51,4,2,1,115,55,1100.0
20,0,177,77,1,2,0,112,83,1376.25
21,0,175,51,4,1,2,186,74,1298.75
25,0,174,68,5,1,2,177,36,1442.5
23,0,178,55,3,1,2,166,57,1347.5
27,1,168,53,4,2,1,310,46,1050.0
29,0,182,56,4,1,1,313,27,1352.5
24,1,185,79,4,2,2,284,52,1431.25
25,0,163,48,5,1,2,132,40,1173.75
19,0,163,80,4,0,0,214,19,1723.75
27,0,184,72,5,0,1,374,63,1735.0
28,0,179,57,5,1,1,297,19,1348.75
25,1,177,67,3,0,0,242,85,1656.25
20,1,166,63,1,2,2,327,62,1172.5
24,1,152,86,5,0,2,219,32,1695.0
20,1,165,81,2,0,0,123,20,1746.25
24,0,179,83,4,2,2,126,80,1428.75
28,1,178,68,2,0,2,174,56,1657.5
29,1,164,60,4,0,0,340,66,1485.0
19,0,174,77,3,1,0,122,25,1562.5
27,0,187,56,5,2,0,260,40,1193.75
23,0,187,78,1,2,2,140,35,1433.75
20,0,172,51,5,1,0,337,80,1285.0
20,1,174,55,4,1,2,338,54,1342.5
26,1,156,75,1,0,1,155,70,1600.0
24,0,171,73,5,0,1,197,65,1678.75
22,0,166,57,1,0,0,245,34,1497.5
29,0,167,75,4,1,2,361,71,1448.75
27,1,159,46,3,2,2,139,19,923.75
24,1,159,83,3,0,2,292,28,1708.75
26,0,156,59,5,1,0,338,38,1235.0
18,0,187,55,2,2,2,141,82,1228.75
24,1,176,78,4,1,2,321,66,1565.0
23,0,182,83,5,0,2,295,62,1852.5
27,0,150,48,5,1,1,387,61,1082.5
29,1,183,55,3,1,2,109,74,1353.75
26,0,153,73,1,1,1,334,87,1356.25
18,1,166,46,4,1,2,364,17,1212.5
21,0,153,60,1,2,2,168,23,1051.25
26,0,175,83,4,0,2,238,38,1793.75
21,1,153,57,2,2,1,318,18,1026.25
27,1,150,81,3,1,2,295,23,1417.5
20,0,156,61,2,1,0,173,15,1285.0
26,1,179,65,5,0,2,202,49,1643.75
19,0,158,88,3,0,1,324,88,1772.5
21,0,184,63,5,2,1,222,26,1275.0
23,1,157,51,2,2,0,201,32,981.25
19,0,173,82,4,0,0,363,24,1806.25
25,0,168,52,5,2,0,260,88,1045.0
25,1,185,57,1,1,1,332,32,1406.25
18,1,176,81,4,1,2,374,38,1625.0
29,0,181,46,4,0,2,357,15,1446.25
20,1,163,85,2,2,0,238,86,1373.75
27,1,167,55,2,1,0,326,30,1263.75
26,1,177,68,3,0,2,372,29,1661.25
22,1,178,50,3,2,0,185,76,1107.5
23,0,165,70,1,1,2,390,19,1416.25
21,0,184,51,4,2,2,316,59,1155.0
27,0,180,83,1,2,2,165,66,1420.0
19,1,153,63,1,2,2,356,85,1096.25
28,1,186,50,2,0,1,234,21,1527.5
25,1,166,87,1,1,2,154,41,1587.5
28,1,188,73,1,0,0,342,27,1770.0
23,1,175,87,5,1,0,351,31,1653.75
22,1,188,83,3,1,0,120,58,1700.0
26,1,153,46,3,0,0,262,27,1291.25
18,0,179,63,4,0,1,363,87,1658.75
22,0,179,48,3,1,2,167,19,1288.75
23,1,171,50,4,1,2,206,47,1258.75
22,1,160,93,5,1,0,166,18,1625.0
23,1,151,81,3,2,0,298,40,1243.75
23,0,161,72,5,1,0,291,82,1411.25
24,0,179,74,3,0,2,101,30,1738.75
21,1,185,51,3,0,1,356,36,1566.25
28,1,167,53,5,0,1,100,50,1438.75
25,0,175,69,1,1,1,214,72,1458.75
24,0,156,77,1,1,1,187,69,1425.0
26,0,150,45,1,2,0,296,49,857.5
24,0,175,50,1,2,2,191,39,1073.75
20,1,172,62,3,0,0,373,86,1600.0
20,0,175,54,2,2,1,259,75,1133.75
25,0,155,72,5,2,0,272,32,1163.75
22,1,155,55,2,0,1,132,72,1413.75
21,0,157,77,2,1,2,172,71,1446.25
25,0,173,45,4,2,1,295,77,1006.25
23,0,171,57,1,1,0,383,26,1323.75
19,1,168,81,3,0,2,186,25,1770.0
21,0,186,64,1,0,1,323,27,1697.5
29,1,167,45,1,2,1,143,49,953.75
28,1,180,47,2,0,2,237,41,1460.0
21,0,186,62,4,0,0,369,81,1677.5
23,0,179,85,1,0,2,135,59,1853.75
23,0,182,58,5,2,0,133,88,1202.5
18,0,159,75,5,2,1,187,81,1253.75
25,1,186,71,1,2,1,245,36,1352.5
23,0,161,61,2,0,2,115,56,1501.25
20,0,179,90,2,1,1,332,34,1718.75
26,0,176,73,3,0,2,140,62,1700.0
19,1,188,80,4,2,1,354,32,1485.0
28,0,158,81,2,1,1,380,84,1457.5
25,0,170,70,3,1,0,225,88,1437.5
27,1,161,61,5,2,2,107,20,1086.25
20,1,178,66,5,1,2,275,53,1477.5
29,0,182,69,5,1,1,327,25,1482.5
22,0,164,46,1,2,0,117,39,975.0
23,0,151,66,4,1,0,155,69,1288.75
27,0,188,49,3,1,2,134,72,1330.0
23,0,167,48,4,2,2,217,51,1008.75
21,1,152,80,1,1,1,381,30,1450.0
20,1,156,50,3,1,2,353,84,1180.0
21,0,167,65,3,1,1,312,87,1388.75
18,0,187,57,2,1,0,160,51,1448.75
21,1,186,81,4,2,2,187,67,1472.5
18,0,182,69,4,0,0,370,30,1737.5
29,0,180,70,2,0,0,131,32,1680.0
18,0,160,83,5,1,1,232,33,1540.0
27,0,153,64,1,2,0,163,58,1061.25
23,0,167,77,4,2,1,298,16,1298.75
22,1,153,58,2,1,1,355,72,1231.25
28,0,183,80,3,0,0,254,24,1803.75
21,0,178,61,2,1,0,330,60,1417.5
28,0,173,65,5,2,1,134,33,1191.25
20,1,171,90,1,2,1,125,52,1473.75
18,1,151,60,5,0,0,122,51,1458.75
23,1,155,90,3,2,1,240,59,1358.75
19,1,174,60,3,2,1,384,48,1197.5
25,0,170,64,3,2,2,255,16,1177.5
27,1,165,73,3,0,2,212,58,1631.25
22,0,180,72,2,2,2,238,41,1335.0
24,0,163,52,3,1,2,308,62,1218.75
27,1,188,68,3,0,2,185,21,1725.0
29,1,177,47,2,1,1,384,41,1236.25
19,1,181,69,3,1,1,159,85,1531.25
25,1,177,63,5,0,2,153,32,1616.25
19,1,158,77,5,1,0,192,47,1467.5
21,0,171,46,4,0,2,364,47,1423.75
18,1,181,59,5,1,0,312,39,1436.25
22,1,154,66,1,0,1,109,28,1517.5
26,1,172,54,1,2,0,302,52,1090.0
18,0,154,62,1,2,1,295,52,1092.5
26,1,181,66,2,1,0,157,18,1466.25
28,0,159,90,5,2,1,355,76,1353.75
25,1,188,93,1,0,1,322,24,1985.0
23,1,164,71,4,1,2,279,49,1425.0
24,0,156,57,2,2,1,134,37,1025.0
20,1,178,77,4,2,2,202,79,1387.5
18,0,152,49,5,1,2,260,39,1150.0
22,0,168,70,3,2,2,299,67,1240.0
29,0,159,57,4,2,0,259,31,1018.75
29,1,177,71,3,1,0,282,71,1476.25
19,1,178,58,2,2,1,235,89,1202.5
22,1,164,68,4,2,2,325,34,1200.0
25,0,184,47,4,2,2,342,39,1095.0
28,1,155,91,2,2,1,205,56,1343.75
26,0,161,93,2,1,2,170,59,1606.25
19,1,187,74,1,0,1,176,45,1818.75
29,0,162,79,5,0,2,153,79,1657.5
20,0,178,92,4,2,0,376,66,1532.5
20,0,168,58,4,2,1,210,35,1130.0
18,1,152,56,2,0,1,323,44,1425.0
25,0,157,72,2,2,0,174,17,1176.25
23,0,157,88,5,0,1,113,84,1746.25
29,0,169,73,2,1,0,357,57,1441.25
25,0,153,87,3,1,2,288,43,1501.25
28,0,170,61,3,1,0,338,17,1332.5
26,0,152,84,3,1,0,190,72,1460.0
22,1,157,93,3,1,1,283,47,1606.25
29,1,172,65,5,1,2,116,89,1385.0
20,0,165,67,4,0,0,111,59,1601.25
22,1,162,64,3,2,2,265,83,1147.5
22,1,152,55,2,0,0,245,46,1395.0
22,0,158,78,3,1,1,381,66,1457.5
20,0,163,54,5,2,0,136,78,1058.75
28,0,162,54,2,2,0,169,54,1012.5
27,1,156,87,3,1,2,268,27,1515.0
21,0,164,50,4,1,0,269,88,1220.0
26,1,156,80,2,1,1,352,43,1450.0
27,0,187,68,2,1,1,396,77,1513.75
26,1,183,56,4,1,0,241,40,1378.75
19,0,171,87,2,1,0,372,73,1643.75
25,0,173,67,3,2,2,324,63,1226.25
25,1,186,71,2,1,2,282,67,1552.5
24,1,150,89,3,1,1,320,45,1512.5
25,1,159,81,4,2,2,152,26,1283.75
20,1,165,50,1,0,0,217,72,1436.25
23,1,157,45,4,1,1,258,50,1121.25
18,1,174,50,3,2,2,235,24,1102.5
24,0,161,94,5,2,1,176,20,1426.25
18,1,174,66,4,0,0,144,21,1662.5
26,0,166,85,5,1,2,117,45,1557.5
18,0,175,68,5,1,0,304,86,1483.75
18,1,163,69,3,1,0,182,17,1423.75
24,0,185,59,3,2,1,149,61,1226.25
19,1,172,70,1,1,1,380,15,1485.0
22,1,155,52,2,1,1,265,59,1183.75
25,0,154,68,4,1,2,342,68,1317.5
25,0,174,92,3,1,2,263,64,1682.5
20,1,167,82,4,0,1,155,21,1768.75
24,1,162,50,5,0,2,138,77,1397.5
20,0,163,79,2,0,2,227,29,1708.75
23,0,177,86,1,1,1,221,81,1651.25
23,0,167,45,4,1,0,346,44,1178.75
20,0,177,90,2,2,2,285,82,1506.25
24,1,176,80,1,2,2,307,50,1385.0
20,1,181,56,4,2,0,338,81,1196.25
25,1,158,82,2,1,0,314,19,1487.5
27,1,189,55,3,0,0,391,39,1601.25
21,0,181,56,4,0,1,323,25,1586.25
18,0,169,86,2,0,0,187,86,1826.25
21,1,177,94,1,1,1,124,80,1746.25
24,1,182,83,2,0,0,319,42,1852.5
28,1,153,51,3,2,0,374,74,931.25
21,1,183,55,4,2,1,234,24,1193.75
23,1,152,80,4,0,1,332,64,1640.0
26,1,175,75,4,2,0,165,53,1318.75
18,1,157,77,3,0,0,179,51,1666.25
22,1,155,57,1,0,0,354,77,1433.75
28,1,165,62,4,2,2,224,75,1116.25
24,0,173,85,1,2,0,245,52,1411.25
18,1,188,68,2,2,1,202,47,1370.0
21,0,179,53,1,2,2,376,89,1143.75
23,0,162,75,1,0,1,223,59,1647.5
19,1,154,85,4,2,2,366,58,1322.5
27,1,174,54,5,2,2,377,15,1097.5
22,0,169,46,5,1,1,210,67,1206.25
28,0,167,82,3,2,2,188,61,1323.75
27,1,167,59,3,2,1,257,47,1103.75
18,0,151,47,5,0,0,315,81,1323.75
23,1,159,87,2,0,2,135,29,1753.75
23,1,161,75,4,1,1,186,28,1446.25
21,1,162,50,4,2,2,217,37,1012.5
25,0,160,47,2,2,1,281,68,945.0
21,0,168,55,2,2,0,167,22,1095.0
25,1,184,59,5,2,0,258,68,1220.0
25,0,188,89,3,2,2,384,50,1540.0
22,0,175,72,2,2,2,263,66,1303.75
21,0,163,54,3,1,1,172,20,1253.75
29,0,173,82,1,2,1,218,42,1356.25
19,0,150,91,4,2,2,294,64,1352.5
28,0,171,94,5,2,1,188,52,1468.75
20,0,172,94,4,1,1,175,44,1715.0
20,1,168,51,5,2,1,320,87,1065.0
21,0,167,59,1,1,2,238,68,1328.75
21,0,161,62,4,0,0,340,85,1521.25
27,0,177,62,1,2,0,253,60,1191.25
28,0,177,85,5,1,1,152,42,1616.25
28,0,182,68,2,0,2,241,31,1677.5
22,0,168,46,4,1,1,130,62,1200.0
21,0,177,84,1,1,0,322,58,1641.25
28,0,186,64,4,0,1,391,74,1662.5
27,1,175,78,4,2,0,365,74,1343.75
25,0,184,87,4,2,2,381,19,1495.0
23,0,183,70,3,1,1,375,83,1528.75
23,0,184,51,1,0,2,143,84,1545.0
25,0,189,82,1,2,1,161,21,1476.25
24,1,165,74,4,1,1,300,67,1456.25
27,1,187,86,2,0,1,108,31,1898.75
28,1,162,49,4,1,1,170,73,1167.5
29,1,172,55,3,0,1,189,23,1485.0
27,1,171,45,5,2,2,123,36,988.75
25,1,165,78,3,2,2,239,59,1291.25
19,1,177,45,2,1,0,177,87,1266.25
26,1,184,63,4,2,1,313,73,1255.0
18,1,157,46,1,2,0,115,27,956.25
25,1,171,65,4,0,2,128,26,1598.75
29,1,170,64,2,2,0,390,50,1162.5
28,1,175,67,1,0,2,142,24,1628.75
29,1,189,65,3,0,1,152,30,1691.25
29,1,170,68,5,1,0,375,33,1402.5
21,1,174,48,5,0,0,331,20,1467.5
21,1,150,56,4,2,0,311,18,997.5
22,0,155,66,3,0,0,107,44,1518.75
25,1,172,64,2,0,1,221,60,1595.0
22,0,172,62,5,1,2,141,41,1385.0
25,1,172,45,3,2,2,332,59,1005.0
27,1,181,74,4,2,1,169,51,1341.25
18,0,179,77,1,2,2,115,23,1398.75
29,1,162,68,4,0,0,168,75,1552.5
27,0,167,58,4,2,1,152,49,1088.75
26,0,172,80,3,2,2,272,61,1345.0
23,0,164,49,5,0,1,361,35,1400.0
20,1,182,55,3,1,1,388,31,1392.5
25,1,170,68,1,1,2,114,69,1422.5
26,1,188,75,3,0,2,369,20,1800.0
23,0,172,57,2,1,1,266,49,1330.0
